Common-Name,Scientific-Name,Location-Migration-North-Point,Lat-1,Lng-1,Location-Migration-South-Point,Lat-2,Lng-2,Distance-Migration-Total,Location-Direct,Lat-3,Lng-3,Location-Mirror,Lat-4,Lng-4,Distance-Migration-Start,Distance-Migration-End,Copy-Direct,Copy-Mirrored
Wood Thrush,Hylocichla mustelina,Northeast US-Canada border,44.0087,-77.139,Central America,19.2602,-96.5783,"1,360",Maine,45,-70,Iowa,42,-95,99990,"1,360","Often found 'thrushing' about on the forest floor (perhaps like you, in a Maine summer), the reclusive Wood Thrush can be found summering in Central Park, often near The Ramble. Listen for their fluttering, flute like song call out over the green paths, and look out for their polka-dot chests puffed out proudly. ","Often found 'thrushing' about on the forest floor (perhaps like you, in an Iowa summer), the reclusive Wood Thrush can be found summering in Central Park, often near The Ramble. Listen for their fluttering, flute like song call out over the green paths, and look out for their polka-dot chests puffed out proudly. "
Short Billed Dowitcher,Limnodromus griseus,South Canada ,45.8,-78.7,Peru,-9.4,-74.1,7000,Cuba,21.4,-78.3,Prince Edward Island ,44.0087,-77.139,750,"6,250","The Short Billed Dowticher is an intricately feathered marsh bird which migrates through New York City in the Fall and Spring, most often seen purusing the pond-shores in Central or Prospect Park. The Short Billed Dowticher (which, they would like you to know, only has a slightly shorter bill than the Long Billed Dowitcher) probes the mudbanks of Cuba in it's nonbreeding winter, with greyer coloration than in the summer.", "These intricately feathered marsh birds migrate through New York City (and Prince Edward Island!) in the Fall and Spring, most often seen purusing the pond-shores of Central or Prospect Park. The Short Billed Dowticher (which, they would like you to know, only has a slightly shorter bill than the Long Billed Dowitcher) probes mudbanks for food, and shifts from a reddish hue in the summer to a grey tone in the winter. "
